year,gdp_growth_lag1,inflation_lag1,forex_import_cover_lag1,remittance_pct_gdp_lag1,remittance_growth_lag1,india_gdp_growth_lag1,india_gdp_growth_lag2,india_inflation_lag1,current_account_lag1,gdp_growth_roll3_std,gdp_growth_roll3_mean,forex_roll3_mean,inflation_roll3_mean,remittance_roll3_mean,nepal_india_inflation_spread_lag1,forex_rapid_decline_lag1,crisis,triggers_fired
1998,5.04861254517328,4.00998860523181,4.13729042628426,1.00551241513623,11.997093957367545,4.04982084998183,7.54952224920051,7.16425211462724,-7.89001512904615,1.0028376425663228,4.6151162044521294,4.354653436921777,6.9511415786611,1.0910883510907976,-3.15426350939543,0,1,2
1999,3.01638947539399,11.2444677818614,6.56961462358199,1.39006090699173,36.489190650174976,6.18441582172117,4.04982084998183,13.2308389767977,-1.38366225352984,1.2618111274665742,4.464428731884783,4.988043651712843,8.15830767028769,1.1240752610085043,-1.9863711949363,0,0,1
2000,4.41257328041399,7.45111260957546,6.15144721774418,1.65809912429702,23.63958273534585,8.84575555939531,6.18441582172117,4.66982038037594,-1.56303865698338,1.0395356149950503,4.159191766993754,5.619450755870143,7.568522998889557,1.3512241488083268,2.7812922291995195,0,0,1
2001,6.19999998192236,2.47882020709136,6.49127474402048,2.02936064424625,33.590316083369665,3.84099115659129,8.84575555939531,4.0094359104519,-2.37793695824869,1.595806968691339,4.542987579243447,6.404112195115549,7.0581335328427395,1.6925068918450001,-1.5306157033605405,0,0,0
2002,4.79989214255407,2.6883037354563,7.36659055227129,2.4468753962689,31.827385921730755,4.82396626555771,3.84099115659129,3.77929312235637,-2.74157105052742,0.9403201649877128,5.137488468296807,6.669770838011982,4.206078850707707,2.0447783882707236,-1.0909893869000697,0,0,1
2004,3.94503776051116,5.70700931874738,7.71309551906274,12.1803238824978,13.64600731902621,7.8603814759073,3.80397532112175,3.80585899528851,2.84759408801275,2.492008726703283,2.9550243601448813,7.495725252553224,3.8082375137841997,8.613406302852534,1.9011503234588698,0,0,0
2005,4.68260325152944,2.8418113124898,7.73890770780445,11.3089899806632,6.683788324098927,7.92293661199932,7.8603814759073,3.76725173477515,1.37422203617593,2.4491448628039008,2.9159280631366715,7.619830971064277,3.8594067061287,11.567444497650634,-0.9254404222853498,0,0,1
2006,3.47918104829496,6.83633265892877,6.70143423450661,14.9051013655231,47.314619519927504,7.92343062148318,7.92293661199932,4.24634362031922,1.88302388576204,0.6068017700885612,4.035607353445187,7.384479153791266,5.128384430055316,12.798138409561368,2.5899890386095494,0,0,0
2007,3.36461478056277,6.92033580707589,7.66549847116562,16.0689646788639,19.921071260927214,8.06073257166651,7.92343062148318,5.79652337561634,1.65950180353451,0.7301191727543397,3.842133026795724,7.368613471158892,5.532826592831487,14.094352008350066,1.12381243145955,0,0,1
2008,3.41156027980276,2.26921924439074,6.45735169197997,16.7918134796819,19.31055762005398,7.6608150670107,8.06073257166651,6.37288135593231,0.0548101106677199,0.05759322577708823,3.418452036220163,6.941428132550733,5.341962570131801,15.9219598413563,-4.10366211154157,0,1,2
2009,6.10463914373472,9.9078300530648,6.61958299342483,21.7381039679629,57.28737142071567,3.08669805921981,7.6608150670107,8.34926704907581,5.84548564127574,1.5685774424634895,4.293604734700083,6.914144385523474,6.36579503484381,18.1996273755029,1.55856300398899,0,1,2
2010,4.5330787246486,11.0948237386987,6.56536255889742,23.2076254422303,9.394323140786254,7.86188883286074,3.08669805921981,10.8823529411764,0.166582495866466,1.3527921459167727,4.683092716062027,6.547432414767407,7.757291012051414,20.5791809632917,0.21247079752230036,0,1,2
2011,4.81641464694573,9.32650410745395,6.01052214363674,21.6469852746313,16.114700570552067,8.49758470221235,7.86188883286074,11.9893899204244,-0.797465992929109,0.8376160367206212,5.151377505109683,6.398489231986329,10.10971929973915,22.197571561608168,-2.662885812970451,0,1,2
2012,3.42180870116162,9.2270754612596,6.74453820987915,19.5463008559418,21.731558501180537,5.24131619937695,8.49758470221235,8.91179336483371,1.33775079697372,0.7371257303406163,4.257100690918651,6.440140970804436,9.88280110247075,21.466970524267804,0.3152820964258911,0,0,1
2013,4.67014192446953,9.45980980357125,7.60892634309321,22.0821265457679,13.650146034079302,5.45638755166587,5.24131619937695,9.47899691419801,2.66070688066426,0.7664482250149407,4.302788424192293,6.787995565536367,9.337796457428267,21.091804225447003,-0.019187110626759818,0,0,1
2014,3.52515317129149,9.04016311917645,8.56836277441355,25.1947048897919,16.509022518658114,6.38610640094825,5.45638755166587,10.0178784746102,5.23137372695533,0.6928221465889778,3.872367932307546,7.640609109128636,9.242349461335767,22.274377430500532,-0.9777153554337499,0,0,1
2015,6.01148284250441,8.36415469659563,8.43501141324674,25.9051136185799,5.46139496756235,7.41022760508854,6.38610640094825,6.66565671867899,2.18298241690426,1.2444563697489641,4.7355926460884765,8.204100176917834,8.954709206447777,24.393981684713236,1.6984979779166398,0,0,0
2016,3.3,7.86890895590891,12.5337607363716,27.6260850017638,14.286559629848997,7.99625378571471,7.41022760508854,4.90697344127256,10.0433083922087,1.5046964472218407,4.2788786712653,9.845711641343962,8.424408923893663,26.241967836711865,2.96193551463635,0,1,2
2017,0.433113719381524,9.9,10.2885647962682,26.9605652689538,-1.754803202229405,8.25630550179086,7.99625378571471,4.94821634062141,-0.68434663855188,2.7895453101716847,3.2481988539619784,10.419112315295513,8.711021217501512,26.830587963099166,4.951783659378591,1,0,0
2018,8.97727935643466,2.77703998300211,9.35380252386613,23.9135443394186,4.783771125831238,6.79538341897911,8.25630550179086,3.32817337461298,-3.56432924017776,4.348434666068493,4.236797691938729,10.72537601883531,6.848649646303673,26.166731536712064,-0.5511333916108696,0,0,1
2019,7.62237610397935,4.40659410175714,6.61464333893592,25.0264204285432,19.60839375702539,6.45385134497769,6.79538341897911,3.9388264669163,-8.30080510271615,4.592095071814659,5.677589726598511,8.752336886356751,5.694544694919749,25.300176678971866,0.4677676348408397,1,0,0
2020,6.65705543110467,5.56616035243723,7.45868343240894,24.1163701264819,-0.5088153945461804,3.87143694070356,6.45385134497769,3.72950573539129,-5.12963069016165,1.165550362751931,7.75223696383956,7.809043098403664,4.249931479065493,24.352111631481232,1.8366546170459395,0,0,1
2021,-2.3696206292072,5.05635826238499,11.8,24.2502461023191,-1.6583391827450389,-6.6,3.87143694070356,6.62343677628535,-0.251653542060189,5.511393099983847,3.9699369686256065,8.624442257114955,5.009704238859786,24.464345552448066,-1.56707851390036,0,1,2
2022,4.838149614115,4.12676744440695,6.7229827208626,22.2775786274327,1.4580616192616749,8.9,-6.6,5.13140747176369,-12.8,4.773909141528343,3.041861472004156,8.660555384423846,4.9164286864097235,23.548064952077898,-1.0046400273567393,1,0,1
2023,5.6313145568451,8.56,7.11844228100777,22.8532966744987,14.41410739556257,7.60936497768895,8.9,6.69903414079852,-5.76692961945292,4.408250339955502,2.6999478472509666,8.547141667290125,5.914375235597313,23.127040468083504,1.8609658592014808,0,0,1
2024,1.98254843628392,7.74,10.4169326092974,26.2241089254704,14.37316320896478,9.19075493028345,7.60936497768895,5.64914318907925,2.45049491475997,1.9190736878227383,4.15067086908134,8.08611920372259,6.808922481468983,23.784994742467266,2.0908568109207506,0,0,0
